one,character,primitives,ceiling,floor,
two,character,,,,
three,character,,,,
four,character,,,,
five,character,,,,
six,character,,,,
seven,character,primitives,diced,,
eight,character,primitives,infinite expanse,,
nine,character,primitives,baseball,baseball player,
ten,character,primitives,needle,,
mouth,character,primitives,opening,entrance,
day,character,primitives,sun,tongue wagging,
month,character,primitives,moon,flesh,body part
rice field,character,primitives,brains,,
eye,character,primitives,eyeball,,
old,character,,,,
I,character,mnemonics,five,mouth,
risk,character,mnemonics,sun,,
companion,character,mnemonics,flesh,,
bright,character,mnemonics,sun,moon,
chant,character,mnemonics,mouth,tongue wagging,
sparkle,character,mnemonics,sun,,
goods,character,mnemonics,mouth,,
spine,character,,,,
prosperous,character,mnemonics,sun,,
early,character,primitives,sunflower,,
early,character,mnemonics,sun,needle,
rising sun,character,mnemonics,sun,baseball,
generation,character,mnemonics,ten,,
stomach,character,mnemonics,brains,body part,
nightbreak,character,mnemonics,sun,floor,
gall bladder,character,mnemonics,body part,nightbreak,
span,character,mnemonics,sun,floor,ceiling
concave,character,,,,
convex,character,,,,
walking stick,primitive,,,,
a drop of,primitive,primitives,eyedropper,,
olden times,character,mnemonics,walking stick,day,
oneself,character,primitives,nose,nostrils,
oneself,character,mnemonics,drop,eye,
white,character,primitives,white bird,dove,
white,character,mnemonics,drop,sun,
hundred,character,mnemonics,white,one,
in,character,mnemonics,eyedropper,ten,
thousand,character,mnemonics,thousand,mouth,
tongue,character,mnemonics,thousand,needle,
measuring box,character,mnemonics,sun,measuring box,
rise up,character,,,,
fat man,primitive,mnemonics,round,baseball player,
round,character,primitives,fat man,,
round,character,mnemonics,drop,nine,
measurement,character,primitives,glue,glued to,
measurement,character,mnemonics,drop,ten,
specialty,character,mnemonics,ten,rice field,glue
Dr.,character,mnemonics,needle,specialty,drop
divining rod,primitive,primitives,magic wand,,
divining rod,primitive,mnemonics,drop,walking stick,
fortune-telling,character,mnemonics,divining rod,mouth,
above,character,mnemonics,magic wand,floor,
below,character,mnemonics,magic wand,ceiling,
eminent,character,mnemonics,magic wand,sunflower,
mist,primitive,mnemonics,sunflower,needle,
morning,character,mnemonics,mist,moon,
animal legs,primitive,,,,
human legs,primitive,,,,
wind,primitive,primitives,weather vane,,
bound up,primitive,,,,
horns,primitive,,,,
only,character,mnemonics,mouth,animal legs,
shellfish,character,primitives,shells,oyster,clam
upright,character,mnemonics,magic wand,shellfish,
employee,character,mnemonics,mouth,shellfish,
see,character,mnemonics,eye,human legs,
newborn babe,character,mnemonics,olden times,human legs,
beginning,character,mnemonics,two,human legs,
page,character,primitives,head,,
page,character,mnemonics,shellfish,one,drop
stubborn,character,mnemonics,beginning,head,
mediocre,character,mnemonics,drop,wind,
defeat,character,mnemonics,bound up,shellfish,
ten thousand,character,mnemonics,one,bound up,
phrase,character,mnemonics,bound up,mouth,
texture,character,mnemonics,body part,wind,
decameron,character,mnemonics,bound up,day,
ladle,character,mnemonics,bound up,drop,
bull's eye,character,mnemonics,white bird,ladle,
neck,character,mnemonics,horns,nose,
ceiling,primitive,,,,
clam,primitive,,,,
diced,primitive,,,,
infinite expanse,primitive,,,,
baseball,primitive,,,,
needle,primitive,,,,
opening,primitive,,,,
sun,primitive,,,,
moon,primitive,,,,
brains,primitive,,,,
eyeball,primitive,,,,
sunflower,primitive,,,,
eyedropper,primitive,,,,
nose,primitive,,,,
white bird,primitive,,,,
glue,primitive,,,,
magic wand,primitive,,,,
weather vane,primitive,,,,
floor,primitive,,,,
baseball player,primitive,,,,
entrance,primitive,,,,
tongue wagging,primitive,,,,
flesh,primitive,,,,
nostrils,primitive,,,,
dove,primitive,,,,
glued to,primitive,,,,
oyster,primitive,,,,
